zone,x,y
Western Plaguelands,53.7,64.7
Western Plaguelands,62.6,59.9
Western Plaguelands,69.2,49.6
Eastern Plaguelands,4.7,38.4
Eastern Plaguelands,25.1,73.1
Eastern Plaguelands,25.1,68.4
Eastern Plaguelands,23.5,68.4
Eastern Plaguelands,24.9,63.6
Eastern Plaguelands,32.4,83.7
Eastern Plaguelands,35,84.3
Eastern Plaguelands,32.4,83.7
Eastern Plaguelands,52.5,49.1
Eastern Plaguelands,50.3,25.9
Eastern Plaguelands,75.7,53.9
Eastern Plaguelands,75.9,53.4
Western Plaguelands,43,84.3
Western Plaguelands,42.9,84.5
Western Plaguelands,43.6,84.5
Stormwind City,80,38.4
Western Plaguelands,43,84.3
Western Plaguelands,49.2,78.5
Western Plaguelands,49.7,76.8
Western Plaguelands,39.5,66.8
Western Plaguelands,43.5,69.4
Western Plaguelands,46.9,65.7
Western Plaguelands,39.5,66.8
Western Plaguelands,38.8,68.3
Western Plaguelands,39.5,66.8
Western Plaguelands,42.9,85.1
Western Plaguelands,69.2,49.7
Eastern Plaguelands,4.7,38.4
Stormwind City,22.6,56.1
Darkshore,32.4,43.7
Winterspring,61.2,38.3
Winterspring,60.9,37.6
Winterspring,61.6,38.6
Darnassus,40.4,82
