zone,x,y
Un'Goro Crater,29.3,22.2
Silithus,50.6,34.5
Tanaris,51,29.3
Tanaris,51.6,26.8
Tanaris,50.9,27
Teldrassil,56.3,92.4
Darnassus,31.5,8.2
Darnassus,35.1,9.1
Darnassus,35.2,8.1
Teldrassil,56.3,92.4
Teldrassil,55.5,92
Ashenvale,35.5,50.2
Azshara,11.9,77.6
Azshara,11.4,78.2
Azshara,17.3,70.6
Azshara,19.3,62.4
Azshara,11.4,78.2
Azshara,42.3,64.1
Azshara,39.3,55.5
Azshara,39.5,50.2
Azshara,36.9,53.2
Azshara,31.1,57.6
Azshara,52.9,19.6
Azshara,52.9,19.6
Azshara,53.5,21.8
Azshara,58.5,25
Azshara,53.5,21.8
Azshara,45.5,37.7
Azshara,45.5,37.7
Azshara,47.2,42.9
Azshara,46.1,39
Azshara,46.1,39
Azshara,53.5,21.8
Azshara,77.8,91.3
Ashenvale,35.5,50.2
Felwood,54.2,86.8
Felwood,50.9,85
Felwood,51.2,82.3
Felwood,51.3,81.5
Felwood,50.9,81.7
Felwood,51.5,82.2
Felwood,49.1,89.1
Felwood,50.9,85
Felwood,41.9,68.2
Felwood,41,59.7
Felwood,38.5,59.2
Felwood,37.5,68.4
Felwood,32.2,67.1
Felwood,51.2,82.3
Felwood,51.3,81.5
Felwood,35.2,59.8
Felwood,51.2,82.3
Felwood,41.3,42.4
Felwood,43.1,21.3
Felwood,43.1,21.3
Felwood,42,19.2
Felwood,39.1,22.3
Felwood,39.3,21.4
Felwood,54.3,16.5
Felwood,62.5,24.2
Felwood,64.8,8.1
Felwood,63.1,8.9
Felwood,64.8,8.1
Winterspring,27.7,34.5
Winterspring,31.3,45.2
Felwood,68.2,5.6
Moonglade,48.1,67.4
Ashenvale,35.5,50.2
Feralas,30.3,43.3
Feralas,31,43.5
Feralas,32.4,43.8
Feralas,43.5,42.7
Feralas,45.1,25.6
Feralas,44.9,10.8
Feralas,45.1,25.6
Feralas,43.5,42.8
Feralas,31,39.9
Felwood,51.1,81.6
Felwood,51.3,81.5
Felwood,50.9,81.7
Felwood,54.2,86.8
