zone,x,y
Dustwallow Marsh,65.1,47.1
Dustwallow Marsh,59.8,41.1
Dustwallow Marsh,64.7,41.3
Dustwallow Marsh,64,30
Dustwallow Marsh,59.8,41.1
Dustwallow Marsh,55.4,26.3
Dustwallow Marsh,55.4,25.9
Dustwallow Marsh,55.4,26.3
Dustwallow Marsh,55,31
Dustwallow Marsh,55.4,26.3
Dustwallow Marsh,56,27
Dustwallow Marsh,55.4,26.3
